Station meta-information: 21.10.2025
"dem_status";"station_code";"station_local_code";"station_name";"station_start_date";"station_end_date";"station_latitude_d";"station_latitude_dms";"station_longitude_d";"station_longitude_dms";"station_altitude";"type_of_station";"station_type_of_area";"station_ozone_classification";"station_subcat_rural_background";"network_code";
"M";"DEBB038";"DEBB038";"Prenzlau";"19930901";"20030122";"53.315821";"+053.18.56";"13.870312";"+013.52.13";"33";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB039";"DEBB039";"Bernau, Altersheim";"19970101";"19980730";"52.680499";"+052.40.49";"13.582088";"+013.34.55";"74";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB040";"DEBB040";"Nauen, 1997-2002";"19970301";"20020415";"52.609568";"+052.36.34";"12.876507";"+012.52.35";"32";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB041";"DEBB041";"Fürstenwalde";"19940201";"19990818";"52.370881";"+052.22.15";"14.069902";"+014.4.11";"40";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB042";"DEBB042";"Frankfurt (Oder), 1997-2014";"19970421";"20140505";"52.339953";"+052.20.23";"14.531918";"+014.31.54";"58";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB043";"DEBB043";"Luckau";"19971208";"20070116";"51.855585";"+051.51.20";"13.706502";"+013.42.23";"62";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB044";"DEBB044";"Cottbus, Bahnhofstr.";"20120925";"";"51.756593";"+051.45.23";"14.327998";"+014.19.40";"75";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB045";"DEBB045";"Frankfurt (Oder), Leipziger Str.";"19950801";"";"52.337336";"+052.20.14";"14.538595";"+014.32.18";"56";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB046";"DEBB046";"Potsdam, Hans-Thoma-Str.";"19941201";"19991001";"52.403612";"+052.24.13";"13.067241";"+013.4.2";"32";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB047";"DEBB047";"Potsdam, Zeppelinstr.-Süd";"19960926";"19990614";"52.393763";"+052.23.37";"13.033837";"+013.2.1";"31";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB048";"DEBB048";"Neuruppin";"19980611";"";"52.93189";"+052.55.54";"12.809481";"+012.48.34";"43";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB049";"DEBB049";"Brandenburg, Neuendorfer Str.";"20131015";"";"52.40938";"+052.24.33";"12.54859";"+012.32.54";"33";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB050";"DEBB050";"Bernau";"19990301";"20100119";"52.684197";"+052.41.3";"13.583773";"+013.35.1";"74";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB051";"DEBB051";"Waldsieversdorf";"19991101";"20030129";"52.54136";"+052.32.28";"14.057456";"+014.3.26";"47";"background";"rural";"rural";"regional";"DE014A";
"M";"DEBB052";"DEBB052";"Potsdam-Michendorfer Chaussee";"20000712";"20070417";"52.348284";"+052.20.53";"13.048527";"+013.2.54";"50";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB053";"DEBB053";"Hasenholz (Buckow)";"20001121";"";"52.563893";"+052.33.50";"14.015172";"+014.0.54";"88";"background";"rural";"rural";"regional";"DE014A";
"M";"DEBB054";"DEBB054";"Potsdam, Zeppelinstr.";"20010307";"";"52.393932";"+052.23.38";"13.037474";"+013.2.14";"31";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB055";"DEBB055";"Brandenburg a.d. Havel";"20011001";"";"52.420442";"+052.25.13";"12.552303";"+012.33.8";"33";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB056";"DEBB056";"Paulinenaue";"19990701";"20150109";"52.689952";"+052.41.23";"12.734188";"+012.44.3";"29";"background";"rural";"rural";"regional";"DE014A";
"M";"DEBB057";"DEBB057";"Schwedt, Fritz-Krumbach-Str.";"20010501";"20091231";"53.066001";"+053.3.57";"14.288856";"+014.17.19";"5";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB058";"DEBB058";"Frankfurt (Oder) Landesumweltamt";"20010601";"20020614";"52.324649";"+052.19.28";"14.51346";"+014.30.48";"80";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB059";"DEBB059";"Nauen, Berliner Straße";"19940301";"20090313";"52.604983";"+052.36.17";"12.875015";"+012.52.30";"37";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB060";"DEBB060";"Eberswalde, Breite Straße";"20150109";"20231231";"52.832467";"+052.49.56";"13.822211";"+013.49.19";"20";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB061";"DEBB061";"Jüterbog, Große Straße";"20020123";"20030212";"51.990478";"+051.59.25";"13.085958";"+013.5.9";"75";"traffic";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB062";"DEBB062";"Brandenburg Mühlendamm";"20020313";"20030220";"52.412804";"+052.24.46";"12.565638";"+012.33.56";"30";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB063";"DEBB063";"Wittenberge";"20021203";"";"52.99875";"+052.59.55";"11.73846";"+011.44.18";"22";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB064";"DEBB064";"Cottbus";"20021210";"";"51.746848";"+051.44.48";"14.33447";"+014.20.4";"75";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB065";"DEBB065";"Lütte (Belzig)";"20030214";"";"52.194225";"+052.11.39";"12.561389";"+012.33.41";"111";"background";"rural";"rural";"regional";"DE014A";
"M";"DEBB066";"DEBB066";"Spreewald";"20030417";"";"51.89749";"+051.53.50";"14.0569";"+014.3.24";"52";"background";"rural";"rural";"regional";"DE014A";
"M";"DEBB067";"DEBB067";"Nauen";"20250101";"";"52.60853";"+052.36.30";"12.885317";"+012.53.7";"31";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB068";"DEBB068";"Bernau, Lohmühlenstr.";"20030109";"";"52.677651";"+052.40.39";"13.582269";"+013.34.56";"71";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB069";"DEBB069";"Belzig, Niemegker Str.";"20040729";"20070102";"52.142081";"+052.8.31";"12.589189";"+012.35.21";"85";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB070";"DEBB070";"Freienhufen, Hauptstr.";"20041221";"20060104";"51.583095";"+051.34.59";"13.964951";"+013.57.53";"122";"traffic";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB071";"DEBB071";"Potsdam, Behlertstr.";"20050701";"20070524";"52.405433";"+052.24.19";"13.067558";"+013.4.3";"30";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB072";"DEBB072";"Teltow, Potsdamer Str.";"20060523";"20080102";"52.401139";"+052.24.4";"13.261774";"+013.15.42";"40";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB073";"DEBB073";"Potsdam, Großbeerenstr.";"20060608";"";"52.388955";"+052.23.20";"13.094279";"+013.5.39";"32";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB074";"DEBB074";"Lübben, Puschkinstr.";"20061215";"20080120";"51.937739";"+051.56.15";"13.890373";"+013.53.25";"51";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB075";"DEBB075";"Potsdam, Groß Glienicke";"20070427";"";"52.484168";"+052.29.3";"13.123698";"+013.7.25";"39";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB076";"DEBB076";"Cottbus, Depo-Meisenweg";"19910101";"";"51.776119";"+051.46.34";"14.31653";"+014.18.59";"68";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB077";"DEBB077";"Neuglobsow";"19990101";"20150107";"53.142367";"+053.8.32";"13.03233";"+013.1.56";"65";"background";"rural";"rural";"regional";"DE014A";
"M";"DEBB078";"DEBB078";"Neuruppin, Depo-Am See";"19960101";"20200102";"52.903756";"+052.54.13";"12.807049";"+012.48.25";"62";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB079";"DEBB079";"Spremberg, Depo Kantstr.";"19930101";"20100104";"51.568997";"+051.34.8";"14.379462";"+014.22.46";"98";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB080";"DEBB080";"Cottbus, Markgrafenmühle";"20000808";"20071219";"51.738644";"+051.44.19";"14.346785";"+014.20.48";"74";"background";"rural";"rural";"near-city";"DE014A";
"M";"DEBB081";"DEBB081";"Herzfelde (Rüdersdorf)";"20070924";"20100608";"52.497549";"+052.29.51";"13.849006";"+013.50.56";"54";"industrial";"rural";"rural";"unknown";"DE014A";
"M";"DEBB082";"DEBB082";"Königs Wusterhausen";"20080320";"20140103";"52.294633";"+052.17.40";"13.619784";"+013.37.11";"35";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB083";"DEBB083";"Spremberg";"20090506";"";"51.5645";"+051.33.52";"14.3764";"+014.22.35";"99";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB084";"DEBB084";"Vogelsang (Brieskow.-F)";"20090818";"20130103";"52.17956";"+052.10.46";"14.667088";"+014.40.1";"33";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB085";"DEBB085";"Spremberg, Trattendorf";"20100212";"20120103";"51.534534";"+051.32.4";"14.383492";"+014.23.0";"103";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB086";"DEBB086";"Blankenfelde-Mahlow";"20100525";"";"52.349703";"+052.20.58";"13.424304";"+013.25.27";"43";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB087";"DEBB087";"Cottbus, W.-Külz-Str.";"20101201";"20161231";"51.75413";"+051.45.14";"14.325549";"+014.19.31";"75";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB088";"DEBB088";"Premnitz, OT Döberitz";"20130306";"20150120";"52.52401";"+052.31.26";"12.370162";"+012.22.12";"30";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB089";"DEBB089";"WMN_Kleinmachnow";"19890101";"";"52.398502";"+052.23.54";"13.186497";"+013.11.11";"50";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB090";"DEBB090";"WMN_Cumlosen";"19890101";"";"53.04187";"+053.2.30";"11.636464";"+011.38.11";"50";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB091";"DEBB091";"WMN_Hohenwutzen";"19890101";"";"52.836134";"+052.50.10";"14.122803";"+014.7.22";"50";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB092";"DEBB092";"Frankfurt (Oder)";"20131001";"";"52.33468";"+052.20.4";"14.52596";"+014.31.33";"74";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB093";"DEBB093";"zDep_Natteheide";"20050101";"";"53.098";"+053.5.52";"12.43";"+012.25.47";"";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB094";"DEBB094";"zDep_Beerenbusch";"20050101";"";"53.141";"+053.8.27";"12.936";"+012.56.9";"";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB095";"DEBB095";"zDep_Kienhorst";"20050101";"";"52.974";"+052.58.26";"13.646";"+013.38.45";"";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB096";"DEBB096";"zDep_Weizgrund";"20050101";"";"52.194";"+052.11.38";"12.562";"+012.33.43";"";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB097";"DEBB097";"zDep_Neusorgefeld";"20050101";"";"51.803";"+051.48.10";"13.566";"+013.33.57";"";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB098";"DEBB098";"zDep_Schwenow";"20050101";"20071231";"52.139";"+052.8.20";"14.01";"+014.0.35";"";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB099";"DEBB099";"Herzfelde, Hauptstr.";"20150114";"20190103";"52.481882";"+052.28.54";"13.84825";"+013.50.53";"53";"traffic";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB100";"DEBB100";"zDep_Siedichum";"20140101";"";"52.163051";"+052.9.46";"14.441975";"+014.26.31";"70";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB101";"DEBB101";"zDDR_Cottbus BHI";"19780101";"19901231";"51.746092";"+051.44.45";"14.319672";"+014.19.10";"80";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB102";"DEBB102";"zDDR_Kunersdorf";"19780101";"19830630";"51.77038";"+051.46.13";"14.193829";"+014.11.37";"60";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB103";"DEBB103";"zDDR_Manschnow";"19881101";"19901231";"52.5468";"+052.32.48";"14.5452";"+014.32.42";"12";"background";"rural";"rural background";"remote";"DE014A";
"M";"DEBB104";"DEBB104";"zDDR_Potsdam, MD";"19690101";"19901231";"52.3813";"+052.22.52";"13.0622";"+013.3.43";"81";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB105";"DEBB105";"_Potsdam, SOR";"19780101";"19901231";"52.363333";"+052.21.47";"13.076667";"+013.4.36";"89";"background";"rural";"rural";"near-city";"DE014A";
"M";"DEBB106";"DEBB106";"_Schwedt";"19770101";"19901231";"53.10456";"+053.6.16";"14.207561";"+014.12.27";"13";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB107";"DEBB107";"_Teltow KPK";"19900101";"19901231";"52.398611";"+052.23.54";"13.246667";"+013.14.48";"40";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB108";"DEBB108";"Lütte, Depo-Am Lütter Bach";"20170101";"";"52.20308";"+052.12.11";"12.614653";"+012.36.52";"45";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB109";"DEBB109";"Luckenwalde, 2019-2024";"20190101";"20250228";"52.089678";"+052.5.22";"13.174949";"+013.10.29";"50";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB110";"DEBB110";"Dallgow-Döberitz";"20190619";"";"52.539504";"+052.32.22";"13.048779";"+013.2.55";"39";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB111";"DEBB111";"Elsterwerda";"20210101";"";"51.456512";"+051.27.23";"13.522548";"+013.31.21";"92";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB112";"DEBB112";"Wildau";"20220101";"";"52.324033";"+052.19.26";"13.621246";"+013.37.16";"60";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB113";"DEBB113";"zDDR_Wittenberge Zellw";"19870101";"";"52.993611";"+052.59.36";"11.763888";"+011.45.49";"27";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB114";"DEBB114";"zDDR_Hennickendorf";"19780101";"";"52.493888";"+052.29.37";"13.818888";"+013.49.7";"45";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB115";"DEBB115";"zDDR_Falkensee KPK";"19900101";"";"52.574444";"+052.34.27";"13.095277";"+013.5.42";"35";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB116";"DEBB116";"zDDR_Zehdenick";"19690101";"";"52.983333";"+052.58.59";"13.35";"+013.20.59";"46";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB117";"DEBB117";"zDDR_Schwarzh.-Ruhland";"19780101";"";"51.468055";"+051.28.4";"13.871944";"+013.52.18";"100";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB118";"DEBB118";"zDDR_Schwarzheide West";"19780101";"";"51.478333";"+051.28.41";"13.864444";"+013.51.51";"100";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB119";"DEBB119";"zDDR_Schwarzheide Ost";"19780101";"";"51.479444";"+051.28.45";"13.904166";"+013.54.14";"100";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB120";"DEBB120";"zDDR_Schwarzheide Schipkau";"19780101";"";"51.504444";"+051.30.15";"13.902222";"+013.54.7";"100";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB121";"DEBB121";"zDDR_Publick";"19780101";"";"51.4125";"+051.24.45";"14.695833";"+014.41.44";"135";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB123";"DEBB123";"zDDR_Forst-SACRO";"19890101";"";"51.783333";"+051.46.59";"14.65";"+014.39.0";"70";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB124";"DEBB124";"zDDR_Heinersbrück";"19890101";"";"51.816666";"+051.48.59";"14.516666";"+014.30.59";"70";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB125";"DEBB125";"zDDR_Deulowitz";"19890101";"";"51.933333";"+051.55.59";"14.633333";"+014.37.59";"70";"background";"rural";"rural";"unknown";"DE014A";
"M";"DEBB126";"DEBB126";"Oranienburg, Bernauer Str.";"20241101";"";"52.755666";"+052.45.20";"13.240508";"+013.14.25";"35";"traffic";"urban";"urban";"unknown";"DE014A";
"M";"DEBB127";"DEBB127";"Luckenwalde";"20250228";"";"52.0891";"+052.5.20";"13.1794";"+013.10.45";"50";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB901";"DEBB901";"Finsterwalde, 1991-1995";"19910101";"19950610";"51.625863";"+051.37.33";"13.71582";"+013.42.56";"107";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB902";"DEBB902";"Oranienburg, 1991-95";"19910201";"19950522";"52.756525";"+052.45.23";"13.240558";"+013.14.26";"35";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB903";"DEBB903";"Potsdam-Hermannswerder, 89-1995";"19910201";"19950614";"52.386748";"+052.23.12";"13.039659";"+013.2.22";"32";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB904";"DEBB904";"Spremberg, 1991-1995";"19910101";"19950703";"51.565535";"+051.33.55";"14.374373";"+014.22.27";"100";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBE001";"DEBE001";"B Heiligensee-Krantorweg";"19891001";"19970331";"52.621633";"+052.37.17";"13.227052";"+013.13.37";"35";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE002";"DEBE002";"B Hermsdorf-Glambecker Weg";"19890101";"19920430";"52.625181";"+052.37.30";"13.290652";"+013.17.26";"50";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE003";"DEBE003";"B Lübars-Vierrutenberg";"19881201";"19951031";"52.618808";"+052.37.7";"13.338462";"+013.20.18";"40";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE004";"DEBE004";"B Konradshöhe-Dorndreher Weg";"19890701";"19920430";"52.587587";"+052.35.15";"13.234217";"+013.14.3";"35";"background";"rural";"rural";"near-city";"DE008A";
"M";"DEBE005";"DEBE005";"B Tegel-Buddestraße";"19870401";"20021231";"52.587014";"+052.35.13";"13.288054";"+013.17.16";"35";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE006";"DEBE006";"B Wittenau-Rödernallee";"19881001";"19950331";"52.586382";"+052.35.10";"13.344852";"+013.20.41";"45";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE007";"DEBE007";"B Falkenhagener Feld-Pionierstr.";"19881201";"19951231";"52.557706";"+052.33.27";"13.167762";"+013.10.3";"35";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE008";"DEBE008";"B Haselhorst-Rhenaniastr.";"19890101";"19960331";"52.555282";"+052.33.19";"13.229622";"+013.13.46";"35";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE009";"DEBE009";"B Tegel-Flughafen";"19881201";"19960331";"52.551061";"+052.33.3";"13.288475";"+013.17.18";"35";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE010";"DEBE010";"Berlin Wedding";"19841101";"";"52.543041";"+052.32.34";"13.349326";"+013.20.57";"35";"background";"urban";"urban";"unknown";"DE008A";
"M";"DEBE011";"DEBE011";"B Wedding/Prenzl. Berg-Behmstr.";"19870701";"20021231";"52.550889";"+052.33.3";"13.39598";"+013.23.45";"45";"traffic";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE012";"DEBE012";"B Staaken-Weinmeisterhornweg";"19870101";"19960331";"52.512768";"+052.30.45";"13.168043";"+013.10.4";"35";"background";"suburban";"suburban";"unknown";"DE008A";
"M";"DEBE013";"DEBE013";"B Tiefwerder-Havelchaussee";"19881201";"19920430";"52.517396";"+052.31.2";"13.217747";"+013.13.3";"35";"background";"rural";"rural";"near-city";"DE008A";
"M";"DEBE014";"DEBE014";"Berlin Charlottenburg-Stadtautobahn (Sondermessstation)";"20200225";"";"52.517428";"+052.31.2";"13.282185";"+013.16.55";"50";"traffic";"urban";"urban";"unknown";"DE008A";
